カテゴリ,フラグ,フラグON時売上,フラグOFF時売上,売上差分,売上影響率(%),フラグON日数,フラグOFF日数,数量影響率(%),絶対影響額
120:惣菜,休日フラグ,380.0551724137931,462.1506276150628,-82.09545520126966,-17.763787452788897,302,730,-16.75866142534167,82.09545520126966
120:惣菜,連休フラグ,412.8020833333333,441.21734357848516,-28.415260245151842,-6.440195667443713,99,933,-5.979844584749882,28.415260245151842
120:惣菜,降雨フラグ,440.7265625,437.14125200642053,3.5853104935794704,0.8201720787327597,393,639,-0.7380327041785489,3.5853104935794704
115:サラダ,祝日フラグ,475.68,462.93582887700535,12.744171122994658,2.7529023091406866,31,782,-6.010471204188481,12.744171122994658
115:サラダ,土曜フラグ,338.2048192771084,478.4014492753623,-140.1966299982539,-29.305226857195066,92,721,-26.512680556480067,140.1966299982539
115:サラダ,日曜フラグ,384.18461538461537,470.61581920903956,-86.43120382442419,-18.365554300679577,73,740,-23.043478260869566,86.43120382442419
115:サラダ,週末フラグ,358.39864864864865,488.2,-129.80135135135134,-26.587740956851974,165,648,-27.103442728442722,129.80135135135134
115:サラダ,平日フラグ,488.7216666666667,375.3468208092485,113.37484585741817,30.205356638689988,617,196,33.45714285714285,113.37484585741817
115:サラダ,休日フラグ,375.3468208092485,488.7216666666667,-113.37484585741817,-23.19824423392009,196,617,-25.069578248768998,113.37484585741817
115:サラダ,連休フラグ,410.3015873015873,468.0549295774648,-57.753342275877515,-12.33900951070298,77,736,-18.499592683107455,57.753342275877515
115:サラダ,降雨フラグ,488.4848484848485,444.62302483069976,43.861823654148736,9.864946528770101,338,475,9.336921850079742,43.861823654148736
125:日配品・生鮮品,祝日フラグ,201.85714285714286,230.31898238747553,-28.461839530332668,-12.3575743672096,16,523,-25.434116445352394,28.461839530332668
125:日配品・生鮮品,土曜フラグ,202.07692307692307,234.35570469798657,-32.2787816210635,-13.773414076973744,79,460,-16.53581510232886,32.2787816210635
125:日配品・生鮮品,日曜フラグ,218.19402985074626,231.22270742358077,-13.02867757283451,-5.634687751046465,68,471,-8.44189946973419,13.02867757283451
125:日配品・生鮮品,週末フラグ,209.5241379310345,237.20526315789473,-27.681125226860246,-11.669692678123427,147,392,-14.844964785511749,27.681125226860246
125:日配品・生鮮品,平日フラグ,238.55737704918033,208.8490566037736,29.70832044540674,14.224780771583315,376,163,20.327868852458998,29.70832044540674
125:日配品・生鮮品,休日フラグ,208.8490566037736,238.55737704918033,-29.70832044540674,-12.45332289149128,163,376,-16.893732970027237,29.70832044540674
125:日配品・生鮮品,連休フラグ,205.38636363636363,231.77130977130977,-26.384946134946148,-11.384043245464825,47,492,-16.362166927899697,26.384946134946148
125:日配品・生鮮品,降雨フラグ,227.49748743718592,230.81901840490798,-3.3215309677220546,-1.439019622679163,205,334,2.28704498100257,3.3215309677220546
250:文具・玩具・趣味雑貨,祝日フラグ,1208.2727272727273,1278.82056892779,-70.54784165506271,-5.516633323642315,11,466,-9.004725251864844,70.54784165506271
250:文具・玩具・趣味雑貨,土曜フラグ,1288.623188405797,1275.1804511278197,13.442737277977358,1.054183136675917,70,407,-2.758822382530717,13.442737277977358
250:文具・玩具・趣味雑貨,日曜フラグ,1020.7575757575758,1319.2587064676618,-298.50113071008604,-22.626428709295997,68,409,-22.463364259253186,298.50113071008604
250:文具・玩具・趣味雑貨,週末フラグ,1157.6666666666667,1325.6066066066066,-167.9399399399399,-12.668912413604058,138,339,-14.733821208207779,167.9399399399399
250:文具・玩具・趣味雑貨,平日フラグ,1329.6149068322982,1161.4794520547946,168.13545477750358,14.475973249466623,328,149,17.575497965303054,168.13545477750358
250:文具・玩具・趣味雑貨,休日フラグ,1161.4794520547946,1329.6149068322982,-168.13545477750358,-12.645424920669168,149,328,-14.948265811716697,168.13545477750358
250:文具・玩具・趣味雑貨,連休フラグ,660.1875,1322.4449541284403,-662.2574541284403,-50.07826239277401,34,443,-44.193306693306695,662.2574541284403
250:文具・玩具・趣味雑貨,降雨フラグ,1624.1101321585902,950.3692946058092,673.740837552781,70.89253002773337,228,249,78.46321245872406,673.740837552781
398:用度品,祝日フラグ,51.05263157894737,59.05973223480947,-8.007100655862104,-13.557631152182509,38,995,-12.792496975278805,8.007100655862104
398:用度品,土曜フラグ,59.923611111111114,58.564161849710985,1.3594492614001297,2.321298928325461,150,883,2.0360721750891475,1.3594492614001297
398:用度品,日曜フラグ,50.89051094890511,59.99426605504587,-9.10375510614076,-15.174375327448614,137,896,-15.250054224018438,9.10375510614076
398:用度品,週末フラグ,55.519572953736656,60.00824175824176,-4.488668804505103,-7.480087189671096,287,746,-7.689622897553032,4.488668804505103
398:用度品,平日フラグ,60.50144927536232,54.98746081504702,5.513988460315296,10.027719735708224,708,325,10.111908680456303,5.513988460315296
398:用度品,休日フラグ,54.98746081504702,60.50144927536232,-5.513988460315296,-9.113812191868814,325,708,-9.183301608004058,5.513988460315296
398:用度品,連休フラグ,52.656565656565654,59.42197802197802,-6.765412365412367,-11.385370515451518,103,930,-11.628380579993484,6.765412365412367
