商品名,平均,標準偏差,最小,最大,中央値,変動係数_CV,需要パターン,安全在庫,発注点,推奨発注量_週間
Ｇファイトシャープ芯ＨＢ,0.8,0.4472135954999579,0.0,1.0,1.0,0.56,通常,1.0,2.0,6.0
ＧＩＮＯＮレモン３５０,5.891891891891892,3.2126813289402545,1.0,13.0,5.0,0.55,通常,5.0,11.0,41.0
ＧＯＤＩＶＡドリンク,3.4166666666666665,2.1852602405298507,1.0,8.0,3.5,0.64,通常,4.0,7.0,24.0
ＧＰｌａｙバリアブル,1.2,0.4068381021724863,1.0,2.0,1.0,0.34,通常,1.0,2.0,8.0
ＧＰｌａｙ１０００,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ＧＰｌａｙ１００００,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ＧＰｌａｙ３０００,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ＧＰｌａｙ５０００,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
Ｈジョージア　カフェラテ,3.5,2.0138409955990952,1.0,7.0,3.0,0.58,通常,3.0,6.0,24.0
Ｈジョージア　ブラック,2.6666666666666665,1.414213562373095,1.0,4.0,3.0,0.53,通常,2.0,5.0,19.0
Ｈ伊右衛門焙じ茶,7.333333333333333,2.23606797749979,4.0,10.0,8.0,0.3,通常,4.0,11.0,51.0
Ｈ伊右衛門５００,2.533333333333333,1.0600988273786194,1.0,4.0,2.0,0.42,通常,2.0,5.0,18.0
Ｈ午後の紅茶ミルクティー,3.0,,3.0,3.0,3.0,,不明,,,21.0
Ｈ綾鷹,2.6875,1.851800925225675,1.0,6.0,2.5,0.69,通常,3.0,6.0,19.0
ＨＷ変顔キャンディ,1.75,0.5,1.0,2.0,2.0,0.29,安定,1.0,3.0,12.0
ＩＱＯＳｉＤバイオレット,1.0,,1.0,1.0,1.0,,不明,,,7.0
ＩＱＯＳｉＯＢブルー,0.75,0.5,0.0,1.0,1.0,0.67,通常,1.0,2.0,5.0
ＩＱＯＳｉＯＤバイオレ,1.0,,1.0,1.0,1.0,,不明,,,7.0
ＩＱＯＳｉＯＭブラック,0.75,0.5,0.0,1.0,1.0,0.67,通常,1.0,2.0,5.0
ＩＱＯＳｉＯＳモデル,1.0,,1.0,1.0,1.0,,不明,,,7.0
ＪＴオンサンデー（旧：ジ,0.0,0.0,0.0,0.0,0.0,,不明,0.0,0.0,0.0
ＪＴニューヨーク（旧：ヘ,0.0,0.0,0.0,0.0,0.0,,不明,0.0,0.0,0.0
ＬストライクＢ,1.1111111111111112,0.32338083338177726,1.0,2.0,1.0,0.29,安定,1.0,2.0,8.0
ＬＩＢＥＲＡミルク,1.0769230769230769,0.27735009811261463,1.0,2.0,1.0,0.26,安定,0.0,1.0,8.0
Ｌｉｐｔｏｎチャームグミ,2.8,3.0840089349921005,1.0,9.0,1.0,1.1,変動大,5.0,8.0,20.0
Ｍアーモンドチョコレート,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ＭＶアップルＯＰプルーム,2.0930232558139537,1.1508579302575823,1.0,5.0,2.0,0.55,通常,2.0,4.0,15.0
ＭＶアロマＲプルーム,1.4074074074074074,0.9710921393049905,0.0,5.0,1.0,0.69,通常,2.0,3.0,10.0
ＭＶコールドＭプルーム,3.3076923076923075,1.9678912962473698,0.0,9.0,3.0,0.59,通常,3.0,6.0,23.0
ＭＶシトラスＯＰプルーム,3.388888888888889,2.423799575428347,1.0,13.0,3.0,0.72,変動大,4.0,7.0,24.0
ＭＶシャープＣＭプルーム,4.752808988764045,3.079554641932102,0.0,17.0,4.0,0.65,通常,5.0,10.0,33.0
ＭＶスムースＲプルーム,5.0,3.2271712297833632,1.0,16.0,5.0,0.65,通常,5.0,10.0,35.0
ＭＶディープＲプルーム,2.2413793103448274,2.170862427276523,0.0,12.0,2.0,0.97,変動大,4.0,6.0,16.0
ＭＶブラックＣＭプルーム,5.211764705882353,3.0902847674571334,0.0,15.0,5.0,0.59,通常,5.0,10.0,36.0
ＭＶベリーＯＰプルーム,5.506329113924051,3.3622085908289625,1.0,19.0,5.0,0.61,通常,6.0,12.0,39.0
ＭＶペア―ＯＰプルーム,1.3,0.5712405705774793,1.0,3.0,1.0,0.44,通常,1.0,2.0,9.0
ＭＶマスカットＯＰＰＬＭ,1.2307692307692308,0.5144077999169381,0.0,2.0,1.0,0.42,通常,1.0,2.0,9.0
ＭＶＧパープルＭウィズ,2.56,1.5799767500226845,1.0,7.0,2.0,0.62,通常,3.0,6.0,18.0
ＭＶＧレッドＭウィズ,3.6176470588235294,2.4313218059976305,0.0,14.0,3.0,0.67,通常,4.0,8.0,25.0
ＭＶＭミントＭプルーム,2.238095238095238,1.6094956323259126,1.0,8.0,2.0,0.72,変動大,3.0,5.0,16.0
ＭＶＰＧフローズンウィズ,3.9074074074074074,3.1218555108921193,0.0,20.0,3.0,0.8,変動大,5.0,9.0,27.0
ＭＶＰＧメンソールウィズ,3.0615384615384613,1.8864394626263112,0.0,9.0,3.0,0.62,通常,3.0,6.0,21.0
ＭＶＰＧレギュウィズ６Ｐ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ＭＶＰＧレギュラーウィズ,3.864406779661017,3.0368860362540158,0.0,18.0,4.0,0.79,変動大,5.0,9.0,27.0
