商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価
野菜生活ベリーサラダ,3164.0,28.0,10,1,0.0038052440038753355,99.16886687903455,C,316.0,113.0
ポケピファンワッカネズミ,3164.0,1.0,1,1,0.0038052440038753355,99.16506163503068,C,3164.0,3164.0
ザクザクやみつきクランキ,3168.0,16.0,15,1,0.0038100546789750513,99.16125639102681,C,211.0,198.0
サンカット　ＵＶスプレー,3192.0,4.0,4,1,0.0038389187295733477,99.15360741761826,C,798.0,798.0
ライオンコーヒーブラック,3192.0,19.0,2,2,0.0038389187295733477,99.15744633634783,C,1596.0,168.0
ベロスピッフィーＳミント,3201.0,11.0,10,2,0.0038497427485477084,99.14976849888869,C,320.0,291.0
オイコス　ストロベリー,3213.0,17.0,15,1,0.003864174773846856,99.14591875614015,C,214.0,189.0
マーブルパウチ,3225.0,15.0,11,1,0.0038786067991460043,99.1420545813663,C,293.0,215.0
野菜マシマシ冷し中華,3235.0,5.0,3,1,0.003890633486895294,99.13817597456715,C,1078.0,647.0
ポテロング,3240.0,20.0,16,1,0.0038966468307699387,99.13428534108026,C,202.0,162.0
フリクション３スリムＢＫ,3246.0,6.0,6,1,0.003903862843419513,99.13038869424949,C,541.0,541.0
◎生コッペパン（ツナ＆ポ,3278.0,22.0,6,1,0.00394234824421724,99.12648483140607,C,546.0,149.0
スポーツニッポン,3280.0,20.0,17,2,0.003944753581767099,99.12254248316185,C,193.0,164.0
エボルタＮＥＯ単３－４Ｐ,3295.0,5.0,5,1,0.003962793613391034,99.11859772958009,C,659.0,659.0
Ｈジョージア　ブラック,3312.0,24.0,9,1,0.003983238982564826,99.11066612900943,C,368.0,138.0
クッキークリームクレープ,3320.0,10.0,4,2,0.003992860332764259,99.10668289002686,C,830.0,332.0
明太海苔弁当,3330.0,6.0,6,1,0.004004887020513548,99.1026900296941,C,555.0,555.0
◎増量チョコビスケット,3336.0,24.0,6,2,0.004012103033163123,99.09868514267359,C,556.0,139.0
ピンクグレープフルーツア,3348.0,18.0,13,1,0.00402653505846227,99.09065612593217,C,258.0,186.0
ＢＳラーメン丸銀だこ,3360.0,21.0,8,2,0.004040967083761418,99.08662959087371,C,420.0,160.0
ルックホワイトラバーズ,3400.0,17.0,6,1,0.004089073834758578,99.07441047612042,C,567.0,200.0
ブロックロス　ユニコーン,3400.0,2.0,2,1,0.004089073834758578,99.08258862378995,C,1700.0,1700.0
ブロックロスジークアクス,3400.0,2.0,2,1,0.004089073834758578,99.07849954995518,C,1700.0,1700.0
