商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価,フェイスくくり大分類
◎もちもちくるみパン,193743.0,1542.0,92,3,0.23300865646106803,46.622614432821436,A,2106.0,126.0,145:パン
◎ふんわりホットケーキ２,193664.0,1513.0,92,3,0.2329136456278486,46.85552807844928,A,2105.0,128.0,145:パン
◎ピーチマンゴールイボス,191620.0,1742.0,92,1,0.23045539065189377,47.08598346910117,A,2083.0,110.0,215:ドライ飲料
◎生コッペパン（コロッケ,191549.0,1147.0,91,2,0.23037000116887377,47.316353470270045,A,2105.0,167.0,145:パン
ＭＶスムースＲプルーム,191219.0,415.0,83,3,0.2299731204731472,47.54632659074319,A,2304.0,461.0,290:たばこ
マルボロ・ボックス,190008.0,348.0,91,3,0.22851668858670818,47.7748432793299,A,2088.0,546.0,290:たばこ
豚バラしょうゆ,188784.0,684.0,36,2,0.2270446220061951,48.0018879013361,A,5244.0,276.0,100:米飯
◎玄米茶　６００,188540.0,1714.0,92,1,0.22675117082511242,48.22863907216121,A,2049.0,110.0,215:ドライ飲料
ジョージア　カフェラテ,186825.0,1175.0,81,3,0.2246885938761092,48.45332766603732,A,2306.0,159.0,215:ドライ飲料
テリアサンパール,184800.0,350.0,87,3,0.222253189606878,48.6755808556442,A,2124.0,528.0,290:たばこ
◎白生コッペパン（カスタ,183296.0,1432.0,92,3,0.2204443757693848,48.89602523141358,A,1992.0,128.0,145:パン
コク旨たまごサンド,182988.0,663.0,65,3,0.22007395378670666,49.11609918520029,A,2815.0,276.0,110:調理パン
テリアパープルメンソール,182688.0,346.0,87,3,0.21971315315422796,49.33581233835452,A,2100.0,528.0,290:たばこ
ポカリスエット５００,181800.0,1212.0,90,1,0.218645183282091,49.554457521636614,A,2020.0,150.0,215:ドライ飲料
◎カフェラテ　砂糖不使用,181181.0,1001.0,92,1,0.21790073131040996,49.77235825294702,A,1969.0,181.0,135:牛乳・チルド飲料
ラッキーＳダークＭ,180642.0,462.0,78,3,0.21725249284072326,49.98961074578774,A,2316.0,391.0,290:たばこ
綾鷹　６５０,179962.0,1139.0,46,2,0.21643467807377156,50.20604542386152,A,3912.0,158.0,215:ドライ飲料
